wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,urban,meduc,feduc
995,40,92,23,9,22,13,38,True,True,True,7.0,4.0
1600,50,109,44,14,16,5,33,True,False,False,9.0,10.0
606,45,100,39,18,6,5,30,False,False,False,12.0,12.0
511,45,101,25,12,13,1,30,True,False,True,11.0,12.0
1411,45,111,40,16,11,12,32,True,False,True,12.0,9.0
1346,40,106,38,16,15,11,37,True,False,True,8.0,14.0
1522,46,102,37,12,15,16,37,True,False,False,12.0,10.0
1075,40,115,28,14,9,10,30,True,False,False,12.0,10.0
1200,50,99,37,12,11,11,28,True,False,True,10.0,8.0
1377,37,118,48,16,15,1,36,True,False,True,11.0,10.0
874,55,132,37,13,8,2,33,True,False,False,13.0,16.0
625,40,108,26,13,11,9,30,True,False,True,12.0,16.0
1250,32,98,40,12,17,2,33,True,False,True,14.0,10.0
1082,40,111,44,13,20,12,36,True,False,True,8.0,11.0
693,40,79,36,11,18,3,38,True,False,False,8.0,8.0
727,55,97,29,12,11,11,31,True,False,False,12.0,11.0
615,50,99,49,15,16,15,38,True,False,False,12.0,14.0
913,40,101,33,16,5,7,31,True,False,True,12.0,
884,46,120,45,17,4,10,36,True,False,False,12.0,18.0
698,43,97,33,12,10,4,29,True,False,True,8.0,8.0
800,55,106,34,12,17,18,36,True,False,False,8.0,12.0
812,40,131,44,16,9,3,30,False,False,False,12.0,12.0
1000,40,93,32,11,16,14,34,True,False,True,12.0,8.0
549,49,79,23,12,11,3,32,False,False,False,8.0,8.0
1300,35,100,38,12,13,15,31,True,False,True,11.0,
923,50,107,30,16,9,8,33,True,False,True,9.0,8.0
1539,40,112,42,12,15,15,32,True,False,False,,10.0
721,40,105,22,12,11,9,30,True,False,False,12.0,10.0
815,40,114,25,12,15,14,31,True,False,False,12.0,10.0
600,80,116,36,12,20,2,38,True,False,False,8.0,
1100,40,104,41,12,18,7,37,True,False,True,11.0,13.0
1058,40,85,48,12,18,19,35,True,False,True,9.0,12.0
962,40,93,46,12,15,1,30,True,False,True,9.0,12.0
433,50,100,40,12,5,9,37,True,False,False,8.0,7.0
940,40,71,20,11,9,2,29,True,False,False,,
1417,38,88,36,16,9,10,32,False,False,True,12.0,12.0
1000,65,93,32,12,11,9,29,True,False,True,12.0,8.0
500,40,98,26,13,14,5,32,True,False,False,12.0,8.0
800,50,110,35,14,8,5,28,True,False,True,12.0,10.0
766,40,109,31,12,17,18,35,True,False,False,,6.0
750,43,94,38,14,12,10,33,True,False,False,11.0,12.0
550,40,77,36,12,15,2,37,True,False,False,8.0,8.0
795,52,89,35,11,16,4,34,True,False,True,,
723,40,102,44,12,12,10,30,True,False,True,12.0,6.0
1039,40,113,49,14,12,8,34,True,False,True,16.0,14.0
200,55,103,38,10,11,15,32,True,False,True,12.0,5.0
400,40,90,36,10,12,1,32,True,True,True,8.0,
575,40,96,31,11,17,1,35,True,False,True,12.0,7.0
850,40,97,35,11,16,5,37,True,False,True,12.0,6.0
508,50,87,35,12,16,1,32,True,True,True,10.0,
1162,45,89,39,12,11,4,37,True,False,True,15.0,
1199,43,70,28,13,13,5,30,True,True,True,8.0,
1270,40,104,34,16,8,4,31,True,False,True,16.0,17.0
350,45,116,36,16,5,3,33,True,False,True,11.0,12.0
963,40,85,32,14,9,9,28,True,True,True,7.0,
1463,45,104,47,15,14,11,37,True,False,True,12.0,12.0
802,40,99,26,12,13,12,29,True,True,True,9.0,12.0
642,45,93,18,12,12,7,30,True,True,True,6.0,6.0
751,40,114,37,13,9,2,28,True,False,True,12.0,10.0
488,40,103,40,17,5,3,31,True,False,True,12.0,16.0
1400,40,92,34,12,15,5,36,True,False,True,6.0,2.0
940,45,98,41,18,10,7,31,True,False,True,8.0,12.0
866,40,114,48,13,15,16,37,True,False,True,12.0,
675,40,77,42,12,20,4,38,True,True,True,12.0,6.0
375,40,89,24,14,9,3,30,True,True,True,13.0,
325,40,93,44,14,10,1,33,True,True,True,16.0,
346,40,110,37,12,16,17,38,True,False,True,12.0,5.0
1442,40,132,39,17,8,1,33,True,False,True,8.0,12.0
560,49,112,37,16,13,2,32,True,False,False,8.0,2.0
550,56,99,42,12,17,11,36,True,False,True,12.0,12.0
950,44,96,26,16,8,10,32,True,True,True,10.0,
684,45,106,45,13,16,2,38,True,False,True,12.0,14.0
1322,40,128,43,16,7,1,33,True,False,True,18.0,
1634,40,95,48,12,18,3,38,True,False,True,,3.0
417,40,80,30,12,8,0,30,False,False,True,8.0,7.0
472,45,71,24,11,9,0,32,True,False,True,6.0,6.0
666,50,89,28,12,16,1,34,True,True,True,9.0,
1679,55,127,45,18,10,3,32,True,False,True,12.0,16.0
1039,40,114,43,16,1,9,31,False,False,True,8.0,8.0
1250,40,102,30,13,13,11,30,True,False,True,7.0,
760,40,88,34,12,12,15,31,True,False,True,12.0,7.0
1154,42,88,32,12,14,12,29,True,False,True,12.0,7.0
1602,60,110,45,15,14,1,37,True,False,True,14.0,12.0
1442,40,110,40,13,13,13,29,True,True,True,7.0,9.0
865,40,130,39,16,5,3,30,True,False,True,8.0,12.0
705,50,100,44,12,15,12,36,True,False,True,,
1000,40,101,36,12,16,1,35,True,False,True,12.0,
852,44,89,36,10,13,9,32,True,False,True,9.0,
770,40,80,25,12,16,14,35,True,False,True,12.0,12.0
1000,40,72,20,12,16,9,34,True,False,True,12.0,12.0
1329,55,115,56,18,10,5,36,True,False,True,12.0,12.0
1682,40,115,48,16,10,4,37,True,False,True,12.0,17.0
577,55,108,47,16,4,0,31,True,True,True,8.0,8.0
685,40,93,27,12,17,7,38,False,False,True,8.0,3.0
577,40,111,37,16,8,8,29,False,True,True,18.0,18.0
1040,40,101,38,12,19,9,38,True,True,True,11.0,12.0
1250,40,92,42,16,10,11,32,False,False,True,12.0,10.0
600,40,115,40,13,7,7,28,False,False,True,5.0,
480,40,76,29,12,17,3,35,False,True,True,11.0,10.0
1000,40,93,26,11,11,0,29,True,False,True,12.0,12.0
988,48,91,39,12,15,15,36,True,False,True,8.0,8.0
478,45,90,35,10,19,10,34,True,False,True,9.0,9.0
440,40,84,23,12,11,2,30,True,True,True,9.0,4.0
485,40,120,43,12,11,1,30,True,True,True,,
705,40,89,32,9,19,0,36,True,True,True,,
1550,40,104,47,12,16,1,34,True,False,False,9.0,10.0
960,40,107,23,12,11,9,29,True,True,True,6.0,9.0
1000,40,100,42,12,16,14,32,True,False,True,12.0,12.0
625,40,129,40,18,4,5,36,True,False,False,15.0,15.0
1346,40,112,39,16,14,14,35,True,False,True,12.0,16.0
961,40,76,17,12,13,13,31,False,True,True,,8.0
479,40,97,45,12,15,1,38,True,False,False,,
1201,50,98,38,11,17,16,36,True,False,False,11.0,2.0
1346,45,60,34,16,8,2,31,True,False,True,,
1122,35,132,45,18,13,8,32,True,False,True,12.0,7.0
543,45,90,31,14,5,7,38,True,True,True,6.0,
450,40,63,26,11,12,4,31,True,True,True,7.0,
507,55,110,36,14,10,4,32,True,False,True,13.0,16.0
547,60,88,38,11,17,5,34,True,False,True,,
586,56,98,41,11,18,16,35,True,False,True,,6.0
462,55,61,24,12,6,4,29,True,True,False,8.0,3.0
705,40,76,32,12,13,8,37,True,True,True,,
1566,40,127,44,12,7,1,29,True,False,True,11.0,
1634,40,94,39,13,18,18,36,True,False,True,8.0,8.0
1282,45,97,48,16,4,1,32,True,False,True,16.0,16.0
556,40,127,44,16,6,2,31,True,True,True,12.0,12.0
1200,40,109,42,15,7,8,33,True,False,True,11.0,12.0
855,45,89,21,12,6,6,31,True,False,False,3.0,3.0
1053,40,90,33,12,18,7,37,True,False,False,11.0,11.0
1000,48,105,39,12,11,4,28,True,False,False,12.0,7.0
900,55,100,27,12,18,5,34,False,False,True,8.0,
1602,45,111,40,16,10,10,31,True,False,False,16.0,12.0
508,50,125,44,17,9,2,31,True,False,True,16.0,13.0
1500,60,124,20,16,6,6,29,True,False,False,12.0,10.0
1682,50,107,41,14,15,9,32,True,False,True,12.0,12.0
750,40,110,45,13,13,1,35,True,False,True,12.0,16.0
843,40,102,32,14,8,7,29,True,False,False,16.0,16.0
409,40,93,26,12,17,18,38,False,False,False,,
1004,40,81,36,12,17,15,34,True,False,False,12.0,
650,40,99,36,12,13,10,30,True,False,False,12.0,10.0
808,40,93,26,12,17,9,37,True,True,False,,
2137,45,102,35,13,8,2,30,True,False,False,12.0,12.0
761,48,95,44,12,14,21,38,True,False,True,12.0,5.0
769,40,98,37,16,8,3,35,False,False,True,11.0,8.0
345,40,84,28,12,7,8,31,True,True,True,,
495,40,88,30,12,6,10,31,True,False,True,,7.0
987,38,109,41,16,9,3,31,True,False,True,4.0,
2500,60,82,41,12,21,1,38,True,False,False,8.0,5.0
1098,45,105,22,14,6,1,32,False,False,True,12.0,
1212,40,95,36,12,6,16,38,True,False,False,12.0,8.0
577,40,92,33,15,8,1,28,True,True,True,10.0,7.0
390,59,74,26,15,10,3,30,True,True,True,7.0,6.0
1500,40,123,43,16,9,12,32,True,False,True,12.0,14.0
583,80,86,24,12,9,1,30,True,False,True,12.0,12.0
460,40,92,22,11,16,1,36,True,False,True,,
945,40,87,41,12,12,13,38,True,False,True,8.0,
1442,60,117,39,16,9,3,31,True,False,True,12.0,10.0
1333,45,112,50,16,14,8,38,True,False,True,12.0,4.0
1500,37,119,41,15,8,5,33,False,False,True,12.0,18.0
1333,45,103,30,16,7,1,34,True,False,True,,
700,40,74,29,12,16,4,36,True,True,True,9.0,
973,36,81,33,13,11,5,32,True,False,True,6.0,9.0
2162,40,124,48,18,10,8,32,True,False,True,10.0,10.0
797,41,89,38,12,10,7,36,True,False,False,7.0,8.0
400,40,88,34,12,14,1,32,True,True,True,7.0,6.0
1015,40,67,31,12,15,11,32,True,True,True,9.0,5.0
1744,43,106,41,16,8,9,29,True,False,True,12.0,16.0
630,40,103,30,15,14,2,32,True,False,False,11.0,5.0
445,40,91,40,12,11,4,32,True,False,False,6.0,8.0
660,42,101,34,16,12,9,31,True,False,True,12.0,12.0
779,40,85,30,12,14,7,37,True,True,True,12.0,
377,40,83,32,12,9,1,36,False,False,True,12.0,12.0
560,44,70,34,12,16,11,35,True,True,True,8.0,
1122,60,102,54,17,7,13,32,True,False,True,12.0,11.0
453,50,94,34,12,9,2,30,True,False,False,7.0,7.0
1386,40,97,38,10,17,9,37,True,False,True,12.0,8.0
1539,40,115,38,17,7,9,31,True,False,True,12.0,16.0
1154,40,117,38,16,11,12,35,True,False,True,17.0,18.0
962,50,105,45,14,15,2,37,True,False,True,8.0,4.0
722,55,113,36,16,8,1,38,False,False,True,8.0,
480,40,83,37,12,9,3,37,True,False,True,10.0,11.0
808,50,101,44,18,8,9,38,True,False,False,17.0,12.0
1442,40,113,36,13,14,8,36,True,False,True,12.0,12.0
1091,50,88,31,13,13,4,37,True,False,True,12.0,
350,40,93,41,12,16,0,33,False,True,True,12.0,
500,40,83,39,12,18,11,36,True,True,True,7.0,
1026,45,113,27,16,9,13,30,True,False,True,16.0,14.0
577,40,106,43,17,11,7,33,False,True,True,13.0,16.0
1333,60,106,38,15,5,1,30,True,False,True,12.0,12.0
915,55,114,36,12,17,9,37,True,False,True,10.0,
1105,40,119,32,16,9,10,30,False,False,True,11.0,10.0
910,40,82,26,14,5,5,30,True,True,True,9.0,3.0
1000,40,89,40,12,17,8,38,True,False,True,1.0,4.0
1160,40,74,18,12,14,1,33,True,True,True,3.0,4.0
1001,34,77,22,12,12,3,29,True,True,True,3.0,4.0
713,40,75,25,12,5,12,36,True,True,True,,
929,40,97,28,13,12,5,30,True,False,True,12.0,12.0
400,50,68,35,12,4,9,31,True,True,True,6.0,2.0
1241,40,83,51,13,9,10,33,True,False,True,12.0,12.0
1065,40,97,40,12,21,10,36,True,False,True,12.0,
403,45,98,37,12,5,3,30,True,False,True,12.0,12.0
940,45,102,30,13,15,12,30,True,True,True,,
812,40,81,20,10,17,13,34,True,True,True,8.0,3.0
700,20,85,27,10,13,0,35,True,True,True,6.0,10.0
575,40,86,20,10,12,6,33,True,True,True,,
450,40,79,23,10,20,5,36,True,True,True,12.0,12.0
621,43,84,24,12,14,10,31,True,False,False,8.0,6.0
441,38,74,24,12,12,11,30,True,False,False,8.0,6.0
625,40,92,25,16,6,9,33,True,True,False,,
726,45,93,32,12,16,5,36,True,False,False,6.0,
500,40,69,18,9,21,13,38,True,True,True,6.0,
1000,44,113,41,17,8,2,34,True,False,True,17.0,18.0
393,48,92,37,12,15,16,38,True,False,True,8.0,7.0
600,40,127,44,12,8,3,28,False,False,False,9.0,12.0
962,50,109,44,12,21,12,37,True,False,False,6.0,
962,40,97,42,12,15,4,34,True,False,False,10.0,8.0
865,40,66,30,11,10,7,30,True,False,True,,10.0
1154,50,109,46,16,10,3,35,True,False,True,16.0,14.0
1386,42,109,43,16,10,11,34,True,False,False,4.0,14.0
732,40,104,36,12,10,7,36,True,False,True,,
865,40,85,44,13,4,9,34,True,False,True,8.0,8.0
700,40,81,26,12,13,13,31,True,False,False,8.0,4.0
975,40,87,12,9,20,10,37,True,False,False,5.0,4.0
1300,40,78,40,13,12,3,33,True,False,True,12.0,12.0
900,40,54,37,14,12,3,31,True,False,True,12.0,12.0
829,40,98,33,12,15,15,36,True,False,True,8.0,8.0
1000,40,98,34,12,17,13,36,True,False,True,12.0,
827,40,105,29,16,7,8,30,True,False,True,16.0,12.0
500,44,87,25,13,5,2,31,True,False,True,12.0,
1155,40,117,25,13,9,1,28,True,False,True,12.0,12.0
950,55,85,30,15,8,3,29,False,False,True,12.0,12.0
700,40,82,35,13,10,4,30,True,False,True,8.0,
1710,45,114,39,18,7,6,32,True,False,True,12.0,
533,30,65,21,12,5,1,32,False,True,True,11.0,12.0
2004,48,105,48,18,10,0,34,True,False,True,12.0,12.0
890,60,92,20,14,9,8,32,True,False,True,7.0,7.0
3078,30,107,23,13,11,4,29,True,False,True,12.0,12.0
1539,40,111,41,17,10,13,37,True,False,True,12.0,16.0
508,40,73,38,12,1,1,31,True,True,True,,
1354,40,119,49,17,13,9,35,False,False,False,16.0,16.0
1143,35,97,40,12,21,8,38,True,False,True,12.0,12.0
962,40,110,34,12,16,8,33,True,False,True,10.0,10.0
1250,44,96,32,12,19,20,38,True,False,True,12.0,12.0
990,40,67,23,12,16,3,34,True,True,True,8.0,8.0
905,40,102,31,12,17,4,37,True,False,False,12.0,12.0
926,55,64,22,12,18,0,38,True,False,True,,2.0
1559,40,103,32,12,17,10,34,True,False,True,8.0,8.0
1312,40,118,39,10,14,4,32,True,False,True,12.0,8.0
923,40,118,36,14,8,16,35,True,True,True,7.0,
879,40,118,41,18,1,9,31,True,False,True,13.0,13.0
800,25,75,37,13,14,1,38,True,False,True,12.0,10.0
1049,50,112,45,14,6,10,32,True,False,False,12.0,10.0
550,40,95,20,12,4,1,30,False,False,False,12.0,10.0
1190,40,119,38,17,4,2,34,True,False,True,12.0,14.0
583,48,94,35,14,10,6,37,True,False,False,12.0,12.0
1200,40,103,27,14,5,2,30,True,False,True,6.0,7.0
797,55,90,36,16,11,5,33,True,False,True,14.0,17.0
1371,40,128,50,18,8,13,36,True,False,False,16.0,12.0
360,55,110,44,13,11,1,38,False,True,True,12.0,8.0
1270,40,84,40,12,11,12,30,True,False,True,12.0,12.0
1832,40,97,38,12,16,1,36,True,False,True,8.0,12.0
909,40,102,34,12,14,5,33,True,False,True,12.0,7.0
1746,40,131,41,18,9,10,33,True,False,True,12.0,12.0
520,40,126,23,16,8,1,30,True,False,True,12.0,12.0
808,40,107,32,16,6,7,29,True,False,False,12.0,12.0
2137,45,108,45,16,11,2,36,True,False,True,12.0,
692,50,92,49,15,9,3,38,True,True,True,8.0,8.0
931,80,108,40,16,4,1,36,True,False,True,12.0,12.0
812,45,115,46,16,11,3,34,True,False,True,12.0,8.0
866,40,111,44,14,16,14,35,True,False,True,12.0,12.0
1442,40,115,47,12,14,9,36,True,False,True,12.0,12.0
500,40,101,31,14,12,0,32,True,False,False,11.0,6.0
1384,50,114,48,18,12,2,37,True,False,True,12.0,13.0
528,55,116,40,18,5,9,30,True,False,True,12.0,12.0
881,40,90,41,12,4,14,36,True,False,False,12.0,
1026,45,125,33,12,11,11,28,True,False,True,14.0,17.0
1212,40,98,26,12,11,12,28,False,False,True,12.0,10.0
1620,38,111,42,15,8,5,29,True,False,False,10.0,
1843,48,109,38,16,11,2,32,True,False,True,12.0,
1602,60,124,36,16,12,2,37,True,False,True,12.0,12.0
1000,40,121,35,13,6,1,33,True,False,True,8.0,14.0
737,48,103,37,12,7,4,30,True,False,True,10.0,
1699,40,96,19,12,10,1,29,False,False,True,12.0,12.0
1699,40,100,40,12,11,9,33,True,False,True,12.0,8.0
1025,48,104,30,14,6,5,32,True,False,True,,12.0
1107,40,112,38,12,12,5,38,True,False,True,11.0,12.0
625,40,73,24,11,1,1,31,True,False,True,12.0,12.0
720,50,101,39,13,1,7,29,True,False,True,11.0,11.0
855,40,99,44,12,19,10,36,True,False,True,12.0,12.0
1250,40,95,23,12,12,2,32,True,False,True,12.0,12.0
1130,40,109,40,18,4,13,38,True,False,False,18.0,15.0
900,40,110,35,12,6,1,28,False,False,True,13.0,13.0
1924,50,98,49,17,6,7,38,True,False,True,4.0,
962,40,112,46,15,8,2,37,True,False,True,12.0,16.0
1874,48,64,37,11,22,3,38,True,True,True,,
1573,55,90,28,12,5,3,30,True,False,True,11.0,8.0
940,45,102,46,14,11,7,36,True,False,True,12.0,10.0
900,40,119,39,16,8,9,30,True,False,False,12.0,12.0
882,44,96,34,12,15,13,31,True,False,False,8.0,10.0
1710,45,118,40,18,12,12,38,True,False,True,12.0,12.0
1260,45,79,39,12,19,15,37,True,False,False,9.0,8.0
751,40,96,42,12,9,7,38,True,False,False,10.0,8.0
1097,50,80,27,11,12,12,28,True,False,False,12.0,11.0
1001,48,137,36,13,11,11,33,True,False,False,12.0,
1154,40,116,42,15,11,12,34,False,False,False,12.0,9.0
1000,43,69,31,12,15,16,35,True,False,True,12.0,8.0
1250,40,78,36,12,16,3,33,True,False,True,6.0,2.0
857,65,99,41,12,18,3,38,True,False,True,8.0,8.0
1211,27,92,33,12,13,3,31,True,False,True,16.0,12.0
937,32,113,23,16,12,7,29,True,False,True,16.0,12.0
904,50,98,29,13,7,1,33,True,False,True,12.0,
872,45,115,30,15,7,4,29,True,False,True,12.0,18.0
1200,40,96,26,9,18,0,34,True,False,True,,8.0
1261,40,117,41,17,1,9,35,True,False,True,6.0,8.0
950,40,96,38,12,14,2,35,True,False,True,8.0,2.0
115,50,108,46,12,9,3,29,True,False,True,10.0,11.0
673,40,92,34,17,6,4,31,True,False,True,16.0,12.0
1084,45,95,38,15,17,10,37,True,False,True,16.0,16.0
1058,40,94,40,14,13,14,34,True,False,True,15.0,9.0
800,40,115,38,12,20,12,38,True,False,False,7.0,8.0
369,40,117,36,18,11,1,31,False,False,False,,
1924,40,105,42,16,14,13,36,True,False,False,12.0,
855,40,109,36,12,17,15,36,True,False,False,7.0,6.0
864,40,87,38,12,15,6,31,True,False,False,12.0,12.0
1092,44,110,34,16,15,13,36,True,False,True,13.0,13.0
1025,40,110,30,16,9,4,30,True,False,False,10.0,12.0
850,35,109,32,12,11,2,31,True,False,False,17.0,
673,40,85,21,12,17,10,35,True,False,False,12.0,12.0
800,40,105,42,14,12,12,37,True,False,False,10.0,12.0
1049,44,122,39,16,7,3,33,True,False,False,10.0,12.0
884,40,108,40,17,9,11,35,True,False,True,14.0,9.0
800,40,122,38,16,10,2,31,False,False,True,12.0,8.0
1200,40,79,32,17,9,9,32,True,False,True,8.0,8.0
664,40,105,30,12,8,10,29,True,False,True,12.0,12.0
1111,45,90,47,12,18,18,37,True,False,True,,
850,43,111,38,16,8,8,34,True,False,True,,
1000,40,110,42,12,6,12,37,True,False,True,8.0,12.0
875,40,92,32,12,8,4,29,False,False,True,14.0,14.0
1202,40,131,32,16,10,2,33,True,False,False,12.0,12.0
666,40,104,32,12,10,2,29,True,False,False,12.0,12.0
923,40,110,39,16,15,11,37,True,False,False,12.0,7.0
788,40,99,20,12,10,10,28,True,False,True,10.0,3.0
950,40,86,31,10,23,5,38,True,False,True,,6.0
1442,40,105,42,12,9,16,37,True,False,True,,
866,40,85,26,12,11,12,30,True,True,False,6.0,
625,40,72,34,9,17,5,34,True,False,False,4.0,
680,40,86,35,12,13,9,32,False,False,False,6.0,7.0
693,40,68,38,12,11,19,35,True,False,False,12.0,8.0
875,36,95,22,12,16,2,38,False,True,False,6.0,
2308,40,116,42,17,8,2,38,True,False,False,12.0,13.0
1196,45,96,45,14,10,4,32,True,False,False,10.0,6.0
700,38,85,36,12,13,8,32,True,True,True,2.0,8.0
721,40,100,32,12,8,8,29,True,False,True,12.0,4.0
1500,40,101,38,13,13,2,32,True,False,True,12.0,8.0
1050,50,97,31,15,4,9,31,True,True,True,16.0,9.0
801,48,100,30,14,6,10,29,True,True,True,,
640,23,96,39,12,7,3,31,False,True,True,,
1198,32,117,39,16,7,9,30,True,False,True,12.0,12.0
390,55,93,38,12,4,2,32,True,False,True,16.0,13.0
889,36,116,37,12,12,11,28,True,False,True,9.0,12.0
1076,38,106,42,12,19,20,36,True,False,True,12.0,9.0
1127,40,98,45,12,17,12,36,True,False,True,14.0,12.0
750,50,103,36,15,1,1,37,True,False,False,12.0,9.0
855,40,118,41,14,6,14,33,True,False,False,,12.0
525,40,100,22,13,5,1,31,True,False,False,10.0,12.0
1104,54,96,39,12,11,4,29,True,False,False,10.0,12.0
553,40,67,22,12,11,10,30,True,True,False,8.0,9.0
800,43,96,27,12,10,1,29,True,False,False,10.0,10.0
1384,50,104,42,13,8,7,31,True,False,False,13.0,14.0
425,30,106,34,17,8,0,36,False,False,False,14.0,12.0
510,54,62,34,11,13,4,33,False,True,True,2.0,10.0
370,32,73,31,12,13,2,31,True,True,False,3.0,4.0
596,40,62,26,12,16,14,33,True,True,False,2.0,8.0
402,40,76,28,12,9,4,28,True,True,True,,10.0
418,40,76,26,12,12,2,31,True,True,False,9.0,10.0
1133,40,106,44,16,13,10,36,True,False,False,12.0,
681,40,94,24,12,18,15,35,False,False,True,9.0,10.0
950,40,81,29,11,16,5,35,True,False,False,10.0,6.0
600,40,87,15,10,20,7,36,True,False,False,5.0,6.0
661,40,96,25,13,8,6,29,False,False,False,,5.0
925,40,75,27,12,12,9,30,True,False,False,6.0,
550,40,95,34,12,14,13,31,True,False,False,5.0,5.0
606,40,86,19,11,13,11,30,True,False,False,3.0,7.0
425,40,86,17,10,7,1,30,True,False,False,3.0,7.0
340,50,104,41,14,4,1,31,True,False,True,8.0,18.0
692,50,95,21,12,16,9,34,True,False,True,7.0,5.0
575,40,116,37,12,11,9,29,True,False,False,8.0,12.0
571,40,66,20,9,15,10,33,True,False,False,8.0,6.0
817,40,101,38,16,11,9,32,True,False,True,,5.0
987,40,96,23,12,11,5,29,True,False,False,12.0,12.0
616,55,104,41,12,16,18,35,True,False,True,9.0,
1026,60,105,34,16,12,1,35,True,False,True,14.0,10.0
808,40,106,34,12,4,3,29,True,False,True,8.0,7.0
808,50,101,34,17,8,0,30,True,False,True,15.0,15.0
788,40,96,42,12,13,5,36,True,False,True,12.0,12.0
850,40,105,34,12,6,2,33,True,False,True,12.0,9.0
900,38,106,40,12,10,19,38,True,False,True,3.0,2.0
1418,45,102,44,12,19,20,36,True,False,True,8.0,8.0
260,40,75,35,12,21,0,37,True,True,False,,
662,45,99,27,14,7,2,28,True,True,False,5.0,5.0
562,55,90,46,13,4,1,38,True,False,False,12.0,11.0
562,80,104,30,12,11,5,28,True,False,False,12.0,12.0
357,70,115,37,13,5,2,30,True,False,True,,
1009,40,118,37,16,11,12,32,True,False,False,12.0,10.0
1442,40,108,40,12,17,17,36,True,False,True,9.0,12.0
651,40,76,30,11,11,2,29,True,True,True,10.0,11.0
750,40,50,28,12,14,5,32,True,True,False,3.0,
754,40,55,23,12,13,14,33,True,True,False,10.0,
700,40,73,23,12,17,9,38,True,True,False,,
503,40,84,14,11,11,2,30,False,True,True,9.0,9.0
937,40,104,37,12,14,15,32,True,False,False,12.0,9.0
624,40,92,40,10,18,10,36,True,False,False,10.0,6.0
750,40,83,27,12,4,10,32,True,True,False,10.0,6.0
900,40,98,36,14,1,8,30,True,True,False,10.0,6.0
540,40,70,25,10,12,10,29,True,True,False,10.0,7.0
642,35,87,26,13,9,3,30,True,False,False,4.0,10.0
400,50,96,38,15,6,10,28,False,False,False,12.0,
900,40,80,34,10,15,14,38,True,False,False,12.0,10.0
513,40,104,40,16,8,10,33,True,False,False,12.0,10.0
894,40,104,35,18,7,10,35,True,False,False,9.0,8.0
1282,60,96,24,18,7,5,32,True,False,True,12.0,18.0
485,40,89,24,12,10,9,30,False,False,False,12.0,18.0
325,55,113,39,12,11,5,29,True,False,False,10.0,13.0
769,45,105,29,12,16,5,33,True,False,False,7.0,7.0
618,40,84,39,14,6,8,31,False,False,True,7.0,4.0
1040,48,108,36,12,16,17,35,True,False,True,7.0,3.0
751,40,104,32,12,15,4,34,True,False,True,8.0,3.0
380,50,106,28,12,15,11,30,True,False,False,7.0,7.0
300,24,83,45,12,16,3,37,True,True,True,3.0,
753,46,70,34,10,21,7,38,True,False,True,12.0,7.0
1065,65,104,39,16,10,11,34,True,False,True,11.0,12.0
1070,40,91,42,12,13,1,30,True,False,True,14.0,12.0
1573,55,112,42,18,7,8,34,True,False,True,14.0,18.0
650,40,97,27,10,14,9,30,True,False,False,12.0,9.0
700,45,99,40,12,15,7,32,True,False,False,10.0,10.0
494,40,74,30,12,16,4,34,True,True,False,,
890,48,100,40,12,4,8,31,True,False,False,,
520,40,86,28,10,15,12,31,True,False,False,6.0,
891,40,90,36,12,16,16,32,True,False,False,12.0,9.0
570,50,101,43,12,11,12,30,True,False,True,12.0,
1444,40,109,33,15,11,1,29,True,False,True,11.0,9.0
481,48,98,26,12,14,2,31,False,True,True,,
500,44,107,40,12,21,12,38,True,False,False,12.0,7.0
1473,40,110,48,16,15,15,36,True,False,False,12.0,14.0
803,40,120,35,13,4,1,28,True,False,True,10.0,12.0
962,50,97,34,16,7,2,30,True,False,True,12.0,12.0
1000,44,103,37,12,9,5,29,True,False,True,11.0,
600,40,114,36,16,5,4,30,True,False,True,12.0,12.0
450,40,95,31,11,12,2,30,True,False,False,8.0,8.0
629,60,93,32,12,6,1,30,True,True,False,10.0,6.0
492,60,67,38,12,15,2,34,True,True,False,8.0,
1562,40,97,28,17,7,2,32,True,False,True,12.0,13.0
357,70,97,34,14,6,3,28,True,False,False,13.0,16.0
960,40,83,25,13,14,13,32,True,False,True,10.0,
566,45,104,46,16,5,2,32,True,False,False,12.0,12.0
481,40,82,27,12,9,2,32,True,False,False,12.0,8.0
1442,40,113,45,16,8,10,35,True,False,True,8.0,8.0
645,45,93,39,12,11,3,35,True,False,False,7.0,8.0
788,40,100,23,11,15,6,32,True,True,False,9.0,
644,42,101,38,12,11,5,33,True,False,False,12.0,
477,45,100,33,12,9,3,31,True,False,False,7.0,7.0
664,60,82,30,16,10,9,34,True,True,True,16.0,16.0
520,40,79,28,16,6,1,30,True,True,False,11.0,
1202,40,102,32,13,10,3,31,True,False,True,8.0,6.0
538,45,77,22,12,12,10,28,True,True,False,7.0,
873,44,109,25,12,12,12,28,True,False,False,,11.0
1000,40,107,32,12,17,18,35,True,False,False,,
