project,street,type,district,segment,tenure,commence,sale,price,area,level,date
LIV @ MB,ARTHUR ROAD,Condominium,15,RCR,99 years,2021.0,New Sale,3289000,1270.15,16 to 20,Jan-23
THE GAZANIA,HOW SUN DRIVE,Condominium,19,OCR,freehold,,New Sale,3439000,1840.64,01 to 05,Jan-23
PARC BOTANNIA,FERNVALE STREET,Condominium,28,OCR,99 years,2016.0,Resale,1295000,861.12,01 to 05,Jan-23
MARINA BAY RESIDENCES,MARINA BOULEVARD,Condominium,1,CCR,99 years,2005.0,Resale,5230000,1980.58,11 to 15,Jan-23
HOLLANDSWOOD COURT,HOLLAND PARK,Apartment,10,CCR,99 years,1975.0,Resale,2000000,2131.27,01 to 05,Jan-23
WILSHIRE RESIDENCES,FARRER ROAD,Apartment,10,CCR,freehold,,New Sale,2004000,753.48,06 to 10,Jan-23
SENNETT RESIDENCE,PHENG GECK AVENUE,Condominium,13,RCR,99 years,2011.0,Resale,935000,581.26,11 to 15,Jan-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 years,2006.0,Resale,2950000,1797.59,16 to 20,Jan-23
PERFECT TEN,BUKIT TIMAH ROAD,Apartment,10,CCR,freehold,,New Sale,4316400,1280.92,21 to 25,Jan-23
PEAK RESIDENCE,THOMSON ROAD,Condominium,11,CCR,freehold,,New Sale,2030000,828.83,01 to 05,Jan-23
PEAK RESIDENCE,THOMSON ROAD,Condominium,11,CCR,freehold,,New Sale,2060000,828.83,01 to 05,Jan-23
THE WARREN,CHOA CHU KANG LOOP,Condominium,23,OCR,99 years,2001.0,Resale,1430000,1474.67,01 to 05,Jan-23
BOON TECK APARTMENTS,BOON TECK ROAD,Apartment,12,RCR,freehold,,Resale,1510000,1237.86,06 to 10,Jan-23
PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 years,1995.0,Resale,1350000,1248.62,06 to 10,Jan-23
V ON SHENTON,SHENTON WAY,Apartment,1,CCR,99 years,2011.0,Resale,1038000,484.38,21 to 25,Jan-23
NEPTUNE COURT,MARINE VISTA,Apartment,15,OCR,99 years,1976.0,Resale,1300000,1270.15,01 to 05,Jan-23
WATERVIEW,TAMPINES AVENUE 1,Condominium,18,OCR,99 years,2010.0,Resale,920000,785.77,11 to 15,Jan-23
CAIRNHILL CREST,CAIRNHILL CIRCLE,Condominium,9,CCR,freehold,,Resale,3800000,1733.0,06 to 10,Jan-23
SUNSHINE GRANDEUR,LORONG K TELOK KURAU,Apartment,15,OCR,freehold,,Resale,2100000,1733.0,01 to 05,Jan-23
THE WATERSIDE,TANJONG RHU ROAD,Condominium,15,RCR,freehold,,Resale,4180000,2411.14,06 to 10,Jan-23
WATERVIEW,TAMPINES AVENUE 1,Condominium,18,OCR,99 years,2010.0,Resale,1470000,1130.22,06 to 10,Jan-23
RIVERBAY,MAR THOMA ROAD,Apartment,12,RCR,other,1882.0,Resale,620000,387.5,11 to 15,Jan-23
LAGUNA PARK,MARINE PARADE ROAD,Apartment,15,OCR,99 years,1977.0,Resale,1800000,1453.14,11 to 15,Jan-23
THE FORESTA @ MOUNT FABER,WISHART ROAD,Condominium,4,RCR,freehold,,Resale,990000,538.2,01 to 05,Jan-23
LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 years,2012.0,Resale,1523888,1001.05,11 to 15,Jan-23
THE SOUND,EAST COAST ROAD,Condominium,15,OCR,freehold,,Resale,1580000,839.59,01 to 05,Jan-23
JUNIPER HILL,EWE BOON ROAD,Apartment,10,CCR,freehold,,Resale,1910000,656.6,01 to 05,Jan-23
THE PROMENADE@PELIKAT,JALAN PELIKAT,Apartment,19,OCR,freehold,,Resale,685000,484.38,01 to 05,Jan-23
CAIRNHILL PLAZA,CAIRNHILL ROAD,Apartment,9,CCR,freehold,,Resale,4600000,2292.73,16 to 20,Jan-23
AQUARIUS BY THE PARK,BEDOK RESERVOIR VIEW,Condominium,16,OCR,99 years,1996.0,Resale,1290000,1227.1,01 to 05,Jan-23
THE SANTORINI,TAMPINES STREET 86,Condominium,18,OCR,99 years,2013.0,Resale,950000,753.48,01 to 05,Jan-23
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years,2014.0,Resale,1380000,990.29,11 to 15,Jan-23
SKYSUITES@ANSON,ENGGOR STREET,Apartment,2,CCR,99 years,2008.0,Resale,1490000,667.37,46 to 50,Jan-23
BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 years,2012.0,Resale,808000,559.73,01 to 05,Jan-23
CHANGI GREEN,UPPER CHANGI ROAD EAST,Condominium,16,OCR,freehold,,Resale,1488800,1334.74,01 to 05,Jan-23
NIN RESIDENCE,PHENG GECK AVENUE,Apartment,13,RCR,99 years,2010.0,Resale,1180000,850.36,06 to 10,Jan-23
ROYAL HALLMARK,HAIG LANE,Apartment,15,RCR,freehold,,New Sale,2258888,1130.22,01 to 05,Jan-23
THE GAZANIA,HOW SUN DRIVE,Condominium,19,OCR,freehold,,New Sale,1564000,678.13,01 to 05,Jan-23
MIDTOWN BAY,BEACH ROAD,Apartment,7,CCR,99 years,2018.0,New Sale,2150800,742.72,16 to 20,Jan-23
CAIRNHILL 16,CAIRNHILL RISE,Apartment,9,CCR,freehold,,New Sale,2863000,1054.87,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1194000,538.2,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1716000,861.12,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1002000,462.85,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1878000,904.18,06 to 10,Jan-23
THE M,MIDDLE ROAD,Apartment,7,CCR,99 years,2019.0,New Sale,2334000,731.95,16 to 20,Jan-23
HYLL ON HOLLAND,HOLLAND ROAD,Condominium,10,CCR,freehold,,New Sale,2740100,936.47,11 to 15,Jan-23
SKY EDEN@BEDOK,BEDOK CENTRAL,Apartment,16,OCR,99 years,2022.0,New Sale,2206000,1087.16,01 to 05,Jan-23
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,Apartment,10,CCR,99 years,2018.0,New Sale,1520000,484.38,31 to 35,Jan-23
PULLMAN RESIDENCES NEWTON,DUNEARN ROAD,Apartment,11,CCR,freehold,,New Sale,3471930,1162.51,16 to 20,Jan-23
MORI,GUILLEMARD ROAD,Apartment,14,RCR,freehold,,New Sale,2153000,1173.28,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1480000,753.48,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,990000,462.85,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1085000,538.2,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1800000,904.18,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1562000,764.24,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,999000,462.85,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1095000,538.2,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1810000,904.18,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1572000,764.24,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1509000,753.48,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1008000,462.85,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1105000,538.2,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2116000,1044.11,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1820000,904.18,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1582000,764.24,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1520000,753.48,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1017000,462.85,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1115000,538.2,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2315000,1119.46,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1830000,904.18,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1592000,764.24,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1531000,753.48,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1026000,462.85,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1125000,538.2,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1547000,753.48,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1040000,462.85,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2343000,1162.51,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1143000,538.2,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1860000,904.18,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1403000,678.13,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1617000,764.24,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1558000,753.48,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1049000,462.85,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2354000,1162.51,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1152000,538.2,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1870000,904.18,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1413000,678.13,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1627000,764.24,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1058000,462.85,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1161000,538.2,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1880000,904.18,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1423000,678.13,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1637000,764.24,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1580000,753.48,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1067000,462.85,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2380000,1119.46,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1439000,678.13,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1652000,764.24,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1596000,753.48,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1081000,462.85,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1188000,538.2,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1449000,678.13,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1662000,764.24,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1607000,753.48,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1090000,462.85,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1198000,538.2,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1920000,904.18,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1459000,678.13,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1672000,764.24,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1618000,753.48,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1099000,462.85,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1208000,538.2,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,5720000,2755.58,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1742000,882.65,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1166000,570.49,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1130000,538.2,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1765000,904.18,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,958000,462.85,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1378000,688.9,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1530000,753.48,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2313000,1119.46,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1139000,538.2,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1776000,904.18,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,972000,462.85,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1387000,688.9,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1540000,753.48,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1148000,538.2,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1793000,904.18,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1396000,688.9,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1550000,753.48,01 to 05,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1157000,538.2,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1803000,904.18,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,990000,462.85,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1405000,688.9,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1560000,753.48,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1838000,904.18,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1166000,538.2,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1813000,904.18,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,999000,462.85,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1414000,688.9,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1561000,764.24,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1570000,753.48,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1848000,904.18,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2421000,1162.51,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2178000,1044.11,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1184000,538.2,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1833000,904.18,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1013000,462.85,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1428000,688.9,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1576000,764.24,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1868000,904.18,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1194000,538.2,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1843000,904.18,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1022000,462.85,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1437000,688.9,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1586000,764.24,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1595000,753.48,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2452000,1162.51,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1204000,538.2,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1596000,764.24,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1605000,753.48,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1888000,904.18,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2463000,1162.51,06 to 10,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1214000,538.2,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1040000,462.85,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1455000,688.9,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1606000,764.24,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1615000,753.48,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1229000,538.2,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1054000,462.85,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1469000,688.9,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1621000,764.24,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1631000,753.48,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1239000,538.2,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1893000,904.18,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1063000,462.85,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1478000,688.9,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1631000,764.24,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1641000,753.48,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1128000,570.49,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1583000,796.54,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,1700000,882.65,11 to 15,Jan-23
SCENECA RESIDENCE,TANAH MERAH KECHIL LINK,Apartment,16,OCR,99 years,2021.0,New Sale,2512000,1291.68,11 to 15,Jan-23
PERFECT TEN,BUKIT TIMAH ROAD,Apartment,10,CCR,freehold,,New Sale,2398550,785.77,06 to 10,Jan-23
PERFECT TEN,BUKIT TIMAH ROAD,Apartment,10,CCR,freehold,,New Sale,2354050,785.77,11 to 15,Jan-23
PERFECT TEN,BUKIT TIMAH ROAD,Apartment,10,CCR,freehold,,New Sale,3886960,1227.1,11 to 15,Jan-23
PERFECT TEN,BUKIT TIMAH ROAD,Apartment,10,CCR,freehold,,New Sale,2508910,785.77,16 to 20,Jan-23
FORETT AT BUKIT TIMAH,TOH TUCK ROAD,Apartment,21,RCR,freehold,,New Sale,1707000,742.72,01 to 05,Jan-23
ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 years,2019.0,New Sale,3281000,1420.85,01 to 05,Jan-23
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,Apartment,10,CCR,99 years,2018.0,New Sale,2925000,1097.93,16 to 20,Jan-23
LIV @ MB,ARTHUR ROAD,Condominium,15,RCR,99 years,2021.0,New Sale,3276000,1270.15,16 to 20,Jan-23
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,Apartment,27,OCR,99 years,2015.0,Resale,1470000,861.12,01 to 05,Jan-23
